"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","592","Delete an author by their ID","","Fri Jan 30 10:34:55 UTC 2026","passed","Fri Jan 30 10:34:56 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testDeleteAuthor"
"","299","Negative: Retrieve book with non-existent or boundary IDs Scenario: Negative ID with ID: -1","","Fri Jan 30 10:34:51 UTC 2026","passed","Fri Jan 30 10:34:51 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testGetBookByInvalidId"
"","576","Add a new author to the system","","Fri Jan 30 10:34:56 UTC 2026","passed","Fri Jan 30 10:34:57 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testCreateAuthor"
"","598","Delete a book by its ID","","Fri Jan 30 10:34:59 UTC 2026","passed","Fri Jan 30 10:35:00 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testDeleteBook"
"","297","Negative: Retrieve book with non-existent or boundary IDs Scenario: Zero ID with ID: 0","","Fri Jan 30 10:34:51 UTC 2026","passed","Fri Jan 30 10:34:51 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testGetBookByInvalidId"
"","604","Update an existing author’s details","","Fri Jan 30 10:34:54 UTC 2026","passed","Fri Jan 30 10:34:55 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testUpdateAuthor"
"","307","Negative: Create book with 5000 character title","","Fri Jan 30 10:34:50 UTC 2026","passed","Fri Jan 30 10:34:50 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testLongTitleBoundary"
"","773","Update an existing book by its ID","","Fri Jan 30 10:34:58 UTC 2026","passed","Fri Jan 30 10:34:58 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testUpdateBook"
"","308","Negative testing for Get Author by ID Scenario: Zero ID with ID: 0","","Fri Jan 30 10:34:52 UTC 2026","passed","Fri Jan 30 10:34:52 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testGetAuthorInvalidIds"
"","310","Negative: Create book with malformed publishDate Invalid Date: ","","Fri Jan 30 10:34:49 UTC 2026","passed","Fri Jan 30 10:34:49 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
"","597","Add a new book to the system","","Fri Jan 30 10:34:58 UTC 2026","passed","Fri Jan 30 10:34:59 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testCreateBook"
"","1617","Retrieve a list of all authors","","Fri Jan 30 10:34:53 UTC 2026","passed","Fri Jan 30 10:34:54 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testGetAllAuthors"
"","321","Negative: Create book with malformed publishDate Invalid Date: 99-99-9999","","Fri Jan 30 10:34:49 UTC 2026","passed","Fri Jan 30 10:34:49 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
