"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","982","Delete an author by their ID","","Fri Jan 30 10:30:27 UTC 2026","passed","Fri Jan 30 10:30:28 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testDeleteAuthor"
"","499","Negative testing for Get Author by ID Scenario: Non-existent ID with ID: 999999","","Fri Jan 30 10:30:23 UTC 2026","passed","Fri Jan 30 10:30:23 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testGetAuthorInvalidIds"
"","2041","Retrieve a list of all authors","","Fri Jan 30 10:30:24 UTC 2026","passed","Fri Jan 30 10:30:27 UTC 2026","","tests.AuthorsHappyPathTests","tests.AuthorsHappyPathTests","testGetAllAuthors"
"","490","Negative: Create book with malformed publishDate Invalid Date: 99-99-9999","","Fri Jan 30 10:30:18 UTC 2026","passed","Fri Jan 30 10:30:18 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
"","1146","Update an existing book by its ID","","Fri Jan 30 10:30:32 UTC 2026","passed","Fri Jan 30 10:30:33 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testUpdateBook"
"","1361","Retrieve a list of all books","","Fri Jan 30 10:30:30 UTC 2026","passed","Fri Jan 30 10:30:32 UTC 2026","","tests.BooksHappyPathTests","tests.BooksHappyPathTests","testGetAllBooks"
"","487","Security: SQL Injection attempt in book title","","Fri Jan 30 10:30:19 UTC 2026","passed","Fri Jan 30 10:30:19 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testSqlInjectionInTitle"
"","484","Negative testing for Get Author by ID Scenario: Negative ID with ID: -1","","Fri Jan 30 10:30:23 UTC 2026","passed","Fri Jan 30 10:30:24 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testGetAuthorInvalidIds"
"","475","Negative testing for Get Author by ID Scenario: Zero ID with ID: 0","","Fri Jan 30 10:30:24 UTC 2026","passed","Fri Jan 30 10:30:24 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testGetAuthorInvalidIds"
"","492","Negative: Create book with malformed publishDate Invalid Date: ","","Fri Jan 30 10:30:18 UTC 2026","passed","Fri Jan 30 10:30:19 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
"","535","Negative: Retrieve book with non-existent or boundary IDs Scenario: Non-existent ID with ID: 999999","","Fri Jan 30 10:30:20 UTC 2026","passed","Fri Jan 30 10:30:21 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testGetBookByInvalidId"
"","526","Negative: Create book with malformed publishDate Invalid Date: 2024-13-45","","Fri Jan 30 10:30:17 UTC 2026","passed","Fri Jan 30 10:30:18 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testCreateBookWithInvalidDate"
"","487","Negative: Retrieve book with non-existent or boundary IDs Scenario: Negative ID with ID: -1","","Fri Jan 30 10:30:21 UTC 2026","passed","Fri Jan 30 10:30:22 UTC 2026","","tests.BooksNegativeTests","tests.BooksNegativeTests","testGetBookByInvalidId"
"","499","Error when deleting author with negative ID","","Fri Jan 30 10:30:22 UTC 2026","failed","Fri Jan 30 10:30:23 UTC 2026","","tests.AuthorsNegativeTests","tests.AuthorsNegativeTests","testDeleteAuthorWithNegativeId"
